brand,name,price,spec_rating,processor,CPU,Ram_type,ROM_type,GPU,display_size,OS,warranty,resolution,storage_gb,ram_gb,brand_encoded,processor_encoded,OS_encoded,Ram_type_encoded,ROM_type_encoded
MSI,Modern 15 B13M-291IN Laptop,45889,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",DDR4,SSD,Intel Integrated Iris Xe,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,15,58,12,2,1
Asus,Zenbook 14 OLED 2023 UM3402YA-KM741WS Laptop,90990,70.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",LPDDR4X,SSD,AMD Radeon AMD,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,3,135,12,6,1
Asus,Vivobook Go 15 OLED 2023 E1504FA-LK521WS Laptop,50990,69.32352941176471,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",LPDDR5,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,3,129,12,8,1
Samsung,Galaxy Book 3 NP750XFG-KA2IN Laptop,74990,69.32352941176471,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",LPDDR4x,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,16.0,21,58,12,7,1
Infinix,INBook Y1 Plus XL28 Laptop,25990,69.32352941176471,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",LPDDR4X,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,12,1,12,6,1
Samsung,Galaxy Book 3 360 13 NP730QFG-KA3IN Laptop,133990,68.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",LPDDR4x,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,1024.0,16.0,21,66,12,7,1
Samsung,Galaxy Book 3 Pro NP960XFG-KC2IN Laptop,165990,73.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,16.0,Windows 11 OS,1,5184000.0,1024.0,16.0,21,68,12,8,1
Samsung,Galaxy Book 3 Pro 360 NP960QFG-KA1IN Laptop,163990,80.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,Intel Iris Xe Graphics,16.0,Windows 11 OS,1,5184000.0,512.0,16.0,21,68,12,4,1
Samsung,Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop,109990,66.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",LPDDR4x,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,512.0,16.0,21,66,12,7,1
Samsung,Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop,139990,71.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,14.0,Windows 11 OS,1,5184000.0,512.0,16.0,21,68,12,8,1
Samsung,Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop,109990,66.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",LPDDR4x,SSD,Intel Iris Xe Graphics,13.3,Windows 11 OS,1,2073600.0,512.0,16.0,21,58,12,7,1
Samsung,Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,149990,72.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,16.0,Windows 11 OS,1,5184000.0,512.0,16.0,21,68,12,8,1
Samsung,Galaxy Book 3 Pro 360 NP960QFG-KA3IN Laptop,179990,81.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",DDR5,SSD,Intel Iris Xe Graphics,16.0,Windows 11 OS,1,5184000.0,1024.0,16.0,21,68,12,4,1
Samsung,Galaxy Book 3 Pro 360 NP960QFG-KA2IN Laptop,155990,74.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",LPDDR5,SSD,Intel Iris Xe Graphics,16.0,Windows 11 OS,1,5184000.0,512.0,16.0,21,59,12,8,1
Samsung,Galaxy Book 3 Ultra Laptop,229900,78.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",LPDDR5,SSD,NVIDIA GeForce RTX 4070,16.0,Windows 11 OS,1,5184000.0,512.0,32.0,21,75,12,8,1
Lenovo,V15 ‎82C70005UK Laptop,35990,61.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",DDR4,SSD,AMD Radeon Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,14,104,12,2,1
HP,15s-fq2717TU Laptop,37990,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",DDR4,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1,2073600.0,512.0,8.0,9,15,12,2,1
